,행정동_코드_명,월_평균_소득_금액,지출_총금액,식료품_지출_총금액,음식_지출_총금액
0,가양1동,3560388.0,58719481000.0,2996873000.0,6688813750.0
1,가양2동,3065320.0,2868118500.0,1618433000.0,264222500.0
2,가양3동,3047051.0,556584250.0,189160000.0,114826750.0
3,공항동,2896818.0,10694658750.0,1477052500.0,1379043500.0
4,등촌1동,3322838.0,8868219250.0,675958250.0,1346487750.0
5,등촌2동,3352636.0,2220382500.0,400379500.0,548351500.0
6,등촌3동,3403390.0,8075309250.0,1499179750.0,1870469250.0
7,발산1동,3192517.0,14816130000.0,3704653500.0,1804534500.0
8,방화1동,3407916.0,5645249000.0,1605838500.0,1469250750.0
9,방화2동,2708397.0,6741620250.0,1298336750.0,659252500.0
10,방화3동,3044446.0,1555598000.0,879365000.0,283291000.0
11,염창동,4127504.0,5841303000.0,1400512250.0,1154224250.0
12,우장산동,4135674.0,5983137000.0,1770193500.0,956479750.0
13,화곡1동,2485455.0,9219925000.0,2581234250.0,2427868250.0
14,화곡2동,2385531.0,1817023250.0,409800500.0,218578500.0
15,화곡3동,3132782.0,4061200750.0,885863500.0,1299703500.0
16,화곡4동,2423768.0,3701904750.0,896091500.0,798089750.0
17,화곡6동,3040513.0,6367287500.0,1203143000.0,1655467000.0
18,화곡8동,2473381.0,3615830750.0,1435575250.0,1021100500.0
19,화곡본동,2398795.0,5434225000.0,1768544250.0,1091711500.0
