,행정동,2021,노인 비율
0,염창동,233,97.13041483714528
1,등촌1동,309,128.81243856084933
2,등촌2동,432,180.08729274526507
3,등촌3동,5507,2295.6961137689227
4,화곡본동,1904,793.7180680254276
5,화곡2동,935,389.772265548201
6,화곡3동,677,282.22013238088994
7,화곡4동,1228,511.9148043777442
8,화곡6동,1019,424.7892391375581
9,화곡8동,1145,477.31469952159375
10,가양1동,307,127.97870109443605
11,가양2동,3330,1388.1728815780848
12,가양3동,2312,963.8005111737334
13,발산1동,1546,644.4790615374532
14,공항동,1771,738.2745265089454
15,방화1동,1210,504.41116718002485
16,방화2동,1698,707.8431089848613
17,방화3동,2276,948.7932367782946
18,화곡1동,1971,821.6482731502718
19,우장산동,694,289.30690084540265
