인허가일자,영업상태명,폐업일자,지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
19871030,폐업,20221004,서울특별시 강서구 화곡동 370번지 76호,화곡중앙시장,시장,185745.7326,448140.2927
19991228,폐업,20220927,서울특별시 강서구 가양동 449번지 19  호,(주)이마트 가양점,대형마트,187761.1943,450640.2145
20010302,폐업,20220926,서울특별시 강서구 가양동 449-19 가양이마트 매장동,(주)이마트 가양점,기타식품판매업,187761.1943,450640.2145
20170504,폐업,20221228,서울특별시 강서구 등촌동 73-1 금부빌딩,장터마트,기타식품판매업,186966.0362,451047.2873
20171031,폐업,20220224,서울특별시 강서구 내발산동 668 ,(주)강서식자재마트,기타식품판매업,185487.6418,450280.8586
20180529,폐업,20220203,서울특별시 강서구 방화동 614-52 ,공항할인마트,기타식품판매업,183243.4686,451415.8358
20050826,영업/정상,0,서울특별시 강서구 등촌동 639번지 11호,홈플러스(주) 강서점,대형마트,187119.9482,450691.5932
20050907,영업/정상,0,서울특별시 강서구 방화동 567번지 4호,삼정프라자,그 밖의 대규모점포,183315.5567,452204.1655
20060519,영업/정상,0,서울특별시 강서구 염창동 264번지 18호,스페이스프라자,그 밖의 대규모점포,188692.0332,449699.8326
20081031,영업/정상,0,서울특별시 강서구 가양동 18번지 24호,홈플러스(주) 가양점,대형마트,186687.1318,451342.7735
20090305,영업/정상,0,서울특별시 강서구 내발산동 719번지 6호,송화시장,그 밖의 대규모점포,185431.0666,449714.8138
20110118,영업/정상,0,서울특별시 강서구 방화2동 886번지 외6필지,롯데몰 김포공항,쇼핑센터,182524.8238,451438.2509
20110701,영업/정상,0,서울특별시 강서구 화곡3동 1065번지 8호,홈플러스(주) 익스프레스 화곡점,그 밖의 대규모점포,185681.1227,448813.4416
20110714,영업/정상,0,서울특별시 강서구 화곡4동 830번지 1호,씨에스유통 (롯데슈퍼화곡2점),그 밖의 대규모점포,187464.4032,447877.7107
20110919,영업/정상,0,서울특별시 강서구 등촌3동 689번지 외 2,(주) 이랜드리테일 강서점,백화점,185824.4285,450866.2521
20111004,영업/정상,0,서울특별시 강서구 방화2동 533번지 9호,롯데쇼핑(주)롯데슈퍼개화산점,그 밖의 대규모점포,182944.7314,452207.4273
20111005,영업/정상,0,서울특별시 강서구 화곡3동 1051번지 27호,롯데쇼핑(주)롯데슈퍼화곡3동점,그 밖의 대규모점포,185731.0512,448913.7609
20111005,영업/정상,0,서울특별시 강서구 화곡1동 343번지 52호,롯데쇼핑(주)롯데슈퍼화곡점,그 밖의 대규모점포,186366.0134,447719.8367
20120312,영업/정상,0,,(주)이마트에브리데이 화곡동점,그 밖의 대규모점포,186456.1877,449645.4519
20120329,영업/정상,0,서울특별시 강서구 내발산동 719번지 6호,롯데쇼핑(주)롯데슈퍼 우장산점,그 밖의 대규모점포,185431.0666,449714.8138
20120329,영업/정상,0,서울특별시 강서구 방화1동 187번지 1호,롯데쇼핑(주)롯데슈퍼 방화점,그 밖의 대규모점포,184102.7825,452097.3701
20120410,영업/정상,0,서울특별시 강서구 화곡동 970번지 2호,홈플러스익스프레스 화곡2점,그 밖의 대규모점포,186614.4313,449481.2536
20130617,영업/정상,0,서울특별시 강서구 화곡1동 1071번지 19호,강서 뉴타워,그 밖의 대규모점포,185384.3227,448552.1247
20150323,영업/정상,0,서울특별시 강서구 염창동 249번지 8호 1층,(주)지에스리테일 염창점,그 밖의 대규모점포,188680.483,449829.6943
20170330,영업/정상,0,서울특별시 강서구 가양동 54번지 5호,노브랜드 강서가양점,구분없음,186374.4637,451431.2511
20170617,영업/정상,0,서울특별시 강서구 마곡동 759번지 마곡센트럴타워Ⅱ,이마트에브리데이 마곡점,구분없음,184498,451786
20170814,영업/정상,0,서울특별시 강서구 마곡동 776번지 2호 마곡센트럴대방디엠시티오피스텔,롯데쇼핑㈜ 마켓999 양천향교역가맹점,구분없음,185798,451778
