,행정동,월_평균_소득_금액,지출_총금액,식료품_지출_총금액,음식_지출_총금액,정규화된 추정 저소득충 고령자 수,편의점 수,편의점 정규화 거리,편의점 정규화 수,대형마트 수,대형마트 정규화 거리,대형마트 정규화 수,신선식품 가게 수,신선식품 가게 정규화 거리,신선식품 가게 정규화 수,식품접근성 지수,고령화수준,식품사막
0,가양1동,3560388.0,58719481000.0,2996873000.0,6688813750.0,0.0149479659413434,26.0,1.0,1.0,6.0,0.5390769957687468,0.6666666666666666,17,1.0,0.3863636363636363,2.513953307261556,하,정상
1,가양2동,3065320.0,2868118500.0,1618433000.0,264222500.0,0.5562913907284768,1.0,0.6193067319750237,0.0384615384615384,2.0,0.2347840154273777,0.2222222222222222,4,0.615104149901778,0.0909090909090909,1.8823979542886717,상,식품 사막
2,가양3동,3047051.0,556584250.0,189160000.0,114826750.0,0.3810785241248817,0.0,0.7381543192234984,0.0,0.0,0.4756837588193685,0.0,2,0.2717673908592263,0.0454545454545454,1.5598490765524522,상,식품 사막
3,공항동,2896818.0,10694658750.0,1477052500.0,1379043500.0,0.1651844843897824,8.0,0.5006023769405207,0.3076923076923077,1.0,0.5129411532655502,0.1111111111111111,44,0.6613506546158963,1.0,2.7439092339814515,하,정상
4,등촌1동,3322838.0,8868219250.0,675958250.0,1346487750.0,0.0128666035950804,12.0,0.3307600246329761,0.4615384615384615,2.0,0.1486813902849106,0.2222222222222222,14,0.339711468692616,0.3181818181818182,3.1827896183319995,하,정상
5,등촌2동,3352636.0,2220382500.0,400379500.0,548351500.0,0.0401135288552507,5.0,0.7455249433601254,0.1923076923076923,0.0,1.0,0.0,11,0.8950248655046439,0.25,0.801757883442923,하,정상
6,등촌3동,3403390.0,8075309250.0,1499179750.0,1870469250.0,1.0,12.0,0.4735134886105511,0.4615384615384615,7.0,0.2951178913545922,0.7777777777777778,24,0.5186209993573578,0.5454545454545454,3.4975184054482833,상,정상
7,발산1동,3192517.0,14816130000.0,3704653500.0,1804534500.0,0.2111636707663197,13.0,0.6460718213310542,0.5,6.0,0.3277200300010537,0.6666666666666666,34,0.7081160997833258,0.7727272727272727,3.257485988278506,중,정상
8,방화1동,3407916.0,5645249000.0,1605838500.0,1469250750.0,0.1661305581835383,13.0,0.4868782066951346,0.5,7.0,0.2965691257496898,0.7777777777777778,13,0.5096728991342712,0.2954545454545454,3.2801120916532276,하,정상
9,방화2동,2708397.0,6741620250.0,1298336750.0,659252500.0,0.2367076631977294,11.0,0.4555465815806272,0.4230769230769231,9.0,0.3511328160667483,1.0,43,0.5215827481924112,0.9772727272727272,4.072087504509864,중,정상
10,방화3동,3044446.0,1555598000.0,879365000.0,283291000.0,0.3466414380321665,4.0,0.5314652052514337,0.1538461538461538,2.0,0.2830465787279687,0.2222222222222222,8,0.4065885925625278,0.1818181818181818,2.336786181344628,상,식품 사막
11,염창동,4127504.0,5841303000.0,1400512250.0,1154224250.0,0.0,5.0,0.3157473096270921,0.1923076923076923,5.0,0.2699056183448822,0.5555555555555556,13,0.4214350188139039,0.2954545454545454,3.036229846531915,하,정상
12,우장산동,4135674.0,5983137000.0,1770193500.0,956479750.0,0.0675496688741721,10.0,0.4718219588947909,0.3846153846153846,1.0,0.1580098191615631,0.1111111111111111,24,0.6495882008732679,0.5454545454545454,2.761761062251419,하,정상
13,화곡1동,2485455.0,9219925000.0,2581234250.0,2427868250.0,0.301608325449385,9.0,0.5265246661316914,0.3461538461538461,3.0,0.2509594243446508,0.3333333333333333,40,0.4911368099383841,0.9090909090909092,3.3199571881633623,상,식품 사막
14,화곡2동,2385531.0,1817023250.0,409800500.0,218578500.0,0.127530747398297,8.0,0.2685548632344301,0.3076923076923077,3.0,0.1293254227612173,0.3333333333333333,12,0.2339927203698301,0.2727272727272727,3.2818799073874363,하,정상
15,화곡3동,3132782.0,4061200750.0,885863500.0,1299703500.0,0.0773888363292336,2.0,0.4594697925553013,0.0769230769230769,4.0,0.1815168666786294,0.4444444444444444,11,0.5390721587198429,0.25,2.5913087034137474,하,정상
16,화곡4동,2423768.0,3701904750.0,896091500.0,798089750.0,0.1519394512771996,5.0,0.3936431064408171,0.1923076923076923,0.0,0.9218297777814588,0.0,19,0.2862010711505083,0.4318181818181818,2.02245191875309,하,정상
17,화곡6동,3040513.0,6367287500.0,1203143000.0,1655467000.0,0.1307473982970671,7.0,0.2941828944756713,0.2692307692307692,0.0,0.5113056628567437,0.0,16,0.3992157164950397,0.3636363636363636,2.4281628590396784,하,정상
18,화곡8동,2473381.0,3615830750.0,1435575250.0,1021100500.0,0.152317880794702,5.0,0.3377283512032372,0.1923076923076923,0.0,0.5998612091401369,0.0,3,0.2606502862789467,0.0681818181818181,2.0622496638671897,하,정상
19,화곡본동,2398795.0,5434225000.0,1768544250.0,1091711500.0,0.2771996215704825,4.0,0.3512655907702402,0.1538461538461538,1.0,0.2449680313331556,0.1111111111111111,9,0.5120554197647196,0.2045454545454545,2.361213677634604,중,잠재적 식품사막
