개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원
3230000,3.23E+17,2023-02-28,,1,영업/정상,0,정상,,,,,02-3403-9198,90,,서울특별시 송파구 문정동 150-25,"서울특별시 송파구 중대로 64, 6층 (문정동)",5833,(주)제너시스비비큐,2024-02-14 9:48,U,06:00.0,식육판매업,210189.6765,443262.0993,,,,,
3240000,3.24E+17,2023-02-28,,1,영업/정상,0,정상,,,,,,92.4,,서울특별시 강동구 길동 359-46 1층,"서울특별시 강동구 천중로50길 23-8, 1층 (길동)",5343,주식회사 이든랩스,2023-02-28 16:23,I,03:00.0,식육판매업,212578.7768,448594.571,,,,,
3190000,3.19E+17,2018-10-04,,3,폐업,2,폐업,2023-02-28,,,,02-846-5600,29.7,,서울특별시 동작구 신대방동 607-86,"서울특별시 동작구 신대방길 81, 1층 (신대방동)",7069,신대방축산,2023-02-28 15:24,U,03:00.0,식육판매업,191927.9501,443029.13,,,,,
3130000,3.13E+17,2014-11-20,,3,폐업,2,폐업,2023-02-28,,,,335-7799,19.05,,서울특별시 마포구 상수동 402,"서울특별시 마포구 독막로20나길 22, 상가2동 B03호 (상수동, 래미안밤섬리베뉴1단지)",4076,대흥축산,2023-02-28 13:18,U,03:00.0,식육판매업,193345.6351,449376.2516,,,,,
3240000,3.24E+17,2012-09-17,,1,영업/정상,0,정상,,,,,,20.55,,서울특별시 강동구 천호동 144-37 1층 상가1호,"서울특별시 강동구 성안로31길 29, 1층 상가1호 (천호동)",5332,동남농장,2023-02-28 16:33,I,03:00.0,식용란수집판매업,211861.6015,448717.8536,,,,,
3050000,3.05E+17,2005-12-13,,1,영업/정상,0,정상,,,,,969-8131,17.19,,서울특별시 동대문구 제기동 773,서울특별시 동대문구 약령시로13길 6 (제기동),,청량상회,2023-02-28 16:22,U,03:00.0,식육판매업,203400.8206,453453.3396,,,,,
3110000,3.11E+17,2023-07-07,,1,영업/정상,0,정상,,,,,02-356-6822,54.36,,"서울특별시 은평구 갈현동 469-6 지하 1층 오른쪽 끝 일부, 1층 102호","서울특별시 은평구 서오릉로 162, 지하1, 1층 102호 (갈현동)",3336,송림축산,2023-07-07 10:14,I,09:00.0,식육판매업,192456.7629,456710.2465,,,,,
3180000,3.18E+17,2008-10-24,,4,취소/말소/만료/정지/중지,4,말소,2023-11-08,,,,,21.5,,서울특별시 영등포구 양평동4가 64-4,서울특별시 영등포구 선유로49길 6 (양평동4가),,우리소 고기마을 정육점,2023-11-07 17:38,U,09:00.0,식육판매업,190825.9944,448191.3476,,,,,
3240000,3.24E+17,2023-04-17,,1,영업/정상,0,정상,,,,,,41.25,,서울특별시 강동구 천호동 447-17 강동 헤르셔 2001호 일부,"서울특별시 강동구 천호대로 1089, 20층 1호 (천호동, 강동 헤르셔)",5339,(주)하이마블,2023-07-07 9:37,I,09:00.0,축산물유통전문판매업,211712.4293,448270.9577,,,,,
3000000,3E+17,19870109,,1,영업/정상,0,정상,,,,,735 -2803,0,,서울특별시 종로구 통인동      31- 25 ,,,옥인정육점,2004-04-14 18:07,I,59:59.0,식육판매업,,,축산물판매업,식육판매업,,0,
3180000,3.18E+17,2007-11-12,,4,취소/말소/만료/정지/중지,4,말소,2023-11-08,,,,,0,,서울특별시 영등포구 당산동3가 92-5,,,대포한우촌,2023-11-07 17:25,U,09:00.0,식육판매업,190981.9356,447170.3031,,,,,
3130000,3.13E+17,2023-05-25,,1,영업/정상,0,정상,,,,,,35.62,,서울특별시 마포구 상암동 2-84 1층,"서울특별시 마포구 성암로15길 15-2, 1층 (상암동)",3927,목로,2023-05-25 15:24,I,07:00.0,식육판매업,190750.6438,452867.1495,,,,,
3180000,3.18E+17,2007-11-11,,4,취소/말소/만료/정지/중지,4,말소,2023-11-08,,,,,0,,서울특별시 영등포구 여의도동 43-2 호정빌딩 1층,"서울특별시 영등포구 국제금융로 72 (여의도동,호정빌딩 1층)",,호정미트,2023-11-07 17:22,U,09:00.0,식육판매업,193819.5751,446543.5339,,,,,
3030000,3.03E+17,2018-11-02,,1,영업/정상,0,정상,,,,,02-2299-9277,29.78,,서울특별시 성동구 하왕십리동 258 벽산아파트상가,"서울특별시 성동구 청계천로 484, 벽산아파트상가 120동 107호 (하왕십리동)",4703,(주)이베리코팜,2023-07-10 9:07,U,03:00.0,식육판매업,202727.7709,451824.5985,,,,,
3200000,3.2E+17,2023-05-25,,3,폐업,2,폐업,2023-05-27,,,,,0,,서울특별시 관악구 봉천동 1570-1 관악구청,"서울특별시 관악구 관악로 145, 관악구청 광장 직거래장터(한시적) (봉천동)",8832,서부농업협동조합  *한시적(23.05.25.~26),2023-05-30 9:22,U,01:00.0,식육판매업,195642.1461,441787.2598,,,,,
3180000,3.18E+17,2006-05-08,,4,취소/말소/만료/정지/중지,4,말소,2023-11-08,,,,761-6895,0,,서울특별시 영등포구 여의도동 18 한국방송공사공제회직매장내,"서울특별시 영등포구 여의공원로 13 (여의도동,한국방송공사공제회직매장내)",,하나촌,2023-11-07 17:21,U,09:00.0,식육판매업,192538.7866,447017.1592,,,,,
3240000,3.24E+17,2023-07-07,,3,폐업,2,폐업,2023-07-25,,,,02-472-3779,9,,서울특별시 강동구 성내동 451 농협서울지역본부 제2주차장,"서울특별시 강동구 올림픽로 528, 농협서울지역본부 제2주차장 1층 (성내동)",5398,서울경기양돈축산업협동조합,2023-07-25 14:59,U,07:00.0,식육판매업,210566.8756,447402.6297,,,,,
3150000,3.15E+17,2023-11-08,,1,영업/정상,0,정상,,,,,070-4047-0226,3.3,,서울특별시 강서구 등촌동 628-13 현대프린스텔 2층 212호,"서울특별시 강서구 양천로 510, 현대프린스텔 2층 212호 (등촌동)",7548,주식회사 담은수,2023-11-08 12:13,I,00:00.0,축산물유통전문판매업,187239.1822,450877.7984,,,,,
3220000,3.22E+17,2023-11-08,,1,영업/정상,0,정상,,,,,,3.3,,서울특별시 강남구 삼성동 143-24,"서울특별시 강남구 테헤란로77길 11-9, 7층 B176호 (삼성동)",6159,진심곳간,2023-11-08 9:21,I,00:00.0,축산물유통전문판매업,204691.655,444968.62,,,,,
3220000,3.22E+17,2022-06-22,,1,영업/정상,0,정상,,,,,02-588-8308,229.55,,서울특별시 강남구 논현동 10-3,"서울특별시 강남구 도산대로16길 13-7, B1층 (논현동)",6040,주식회사 유호,2023-05-25 10:39,I,07:00.0,축산물유통전문판매업,202170.9915,446138.785,,,,,
3050000,3.05E+17,2021-03-24,,1,영업/정상,0,정상,,,,,962-7889,150,,서울특별시 동대문구 제기동 930-10 1층,"서울특별시 동대문구 고산자로 477, 1층 (제기동)",2570,(주)꿀꿀이네축산,2023-05-25 14:16,U,07:00.0,식육판매업,203314.2372,453333.8155,,,,,
3040000,3.04E+17,2017-01-17,,1,영업/정상,0,정상,,,,,02-456-0738,23.65,,서울특별시 광진구 광장동 530-25 1층,"서울특별시 광진구 광나루로 603, 1층 (광장동, 광장빌딩)",4984,한살림동서울 구의매장,2023-05-25 16:54,U,07:00.0,식육판매업,208378.9133,448866.2482,,,,,
3040000,3.04E+17,2015-12-24,,1,영업/정상,0,정상,,,,,,35,,서울특별시 광진구 자양동 769-10 RBW tower,"서울특별시 광진구 자양로 129, RBW tower 9층 (자양동)",5026,주식회사 메이준생활건강,2023-05-25 14:31,I,07:00.0,축산물유통전문판매업,207259.0134,448563.1544,,,,,
3020000,3.02E+17,2012-03-22,,1,영업/정상,0,정상,,,,,02-749-1191,33.05,,서울특별시 용산구 한강로3가 40-163,"서울특별시 용산구 한강대로15길 19-10, 1층 (한강로3가)",4379,(주)만세기푸드,2023-05-25 13:16,U,07:00.0,우유류판매업,196646.5212,447069.8363,,,,,
3120000,3.12E+17,2006-07-12,,3,폐업,2,폐업,2023-05-25,,,,,46.25,,서울특별시 서대문구 홍제동 246-11,,,전국축산물도매백화점,2023-05-25 14:30,U,07:00.0,식육판매업,195143.1055,454185.1374,,,,,
3170000,3.17E+17,1995-06-22,,3,폐업,2,폐업,2023-05-12,,,,,4,,서울특별시 금천구 독산동 293-5,"서울특별시 금천구 범안로 1209 (독산동, 협진식품빌딩)",8585,유창지상4호,2023-05-25 15:34,U,07:00.0,식육부산물전문판매업,190771.5956,440515.669,,,,,
3220000,3.22E+17,2023-05-30,,1,영업/정상,0,정상,,,,,,31.4,,서울특별시 강남구 역삼동 637-20 도연빌딩,"서울특별시 강남구 강남대로94길 67, 도연빌딩 506호 (역삼동)",6131,주식회사 잇투헤븐,2023-05-30 9:27,I,01:00.0,축산물유통전문판매업,202806.7112,444292.3443,,,,,
3220000,3.22E+17,2023-03-02,,1,영업/정상,0,정상,,,,,,10,,서울특별시 강남구 신사동 541-6,"서울특별시 강남구 도산대로15길 15, 2층 (신사동)",6036,한우AWE,2023-03-02 9:47,I,04:00.0,식육판매업,202028.0462,446332.0872,,,,,
3180000,3.18E+17,2023-03-02,,1,영업/정상,0,정상,,,,,02-6350-9757,0,,서울특별시 영등포구 영등포동6가 77-1 BS타워,"서울특별시 영등포구 영등포로 193, BS타워 (영등포동6가)",7251,주식회사비에스온,2023-03-02 9:20,I,04:00.0,식육판매업,191362.0524,446480.987,,,,,
3130000,3.13E+17,2023-03-02,,1,영업/정상,0,정상,,,,,,6.6,,서울특별시 마포구 상암동 1623 한샘상암,"서울특별시 마포구 성암로 179, 한샘상암 8층 (상암동)",3929,주식회사 블루스톤익스체인지,2023-03-02 10:01,I,04:00.0,식육판매업,190976.7202,452652.6863,,,,,
3050000,3.05E+17,2024-03-07,,1,영업/정상,0,정상,,,,,,18.56,,서울특별시 동대문구 제기동 590 1층 102호,"서울특별시 동대문구 왕산로33길 38, 1층 102호 (제기동)",2572,새벽우,2024-03-07 9:46,I,09:00.0,식육판매업,203630.4099,453200.6407,,,,,
3030000,3.03E+17,2023-02-14,,1,영업/정상,0,정상,,,,,02-2294-6200,60,,서울특별시 성동구 마장동 507-5,"서울특별시 성동구 마장로31길 48, 1층 (마장동)",4748,주식회사 효성미트,2023-03-02 16:38,U,04:00.0,식육판매업,203341.5632,452020.0084,,,,,
3170000,3.17E+17,2021-04-08,,1,영업/정상,0,정상,,,,,,134.11,,서울특별시 금천구 독산동 331-22,"서울특별시 금천구 범안로15길 26, 지하1층 좌측호 (독산동)",8586,SJ유통,2024-03-11 10:50,U,03:00.0,식육부산물전문판매업,190463.5713,440625.7186,,,,,
3050000,3.05E+17,2023-05-30,,1,영업/정상,0,정상,,,,,,24.91,,서울특별시 동대문구 답십리동 498-3,"서울특별시 동대문구 고미술로 12, 1층 (답십리동)",2603,육당정육점,2023-06-05 14:36,U,08:00.0,식육판매업,204357.3792,451944.2625,,,,,
