인허가일자,영업상태명,폐업일자,사업장명,지번주소,업태구분명,좌표정보(X),좌표정보(Y)
19740917,영업/정상,20250101,금용정육점,서울특별시 강서구 화곡동 362-169,식육판매업,185773.7938,448102.9399
19770415,폐업,20230630,내고향한우,서울특별시 강서구 화곡동 51-29,식육판매업,186495.1849,448964.6768
19801230,영업/정상,20250101,황금축산,서울특별시 강서구 내발산동 718-19,식육판매업,185379.8871,449711.5681
19810417,취소/말소/만료/정지/중지,20230731,제일정육점,서울특별시 강서구 등촌동 641-12,식육판매업,187360.0139,450459.9621
19820325,영업/정상,20250101,칠성정육점,서울특별시 강서구 방화동 567-29 33호,식육판매업,183294.1716,452279.0863
19840903,취소/말소/만료/정지/중지,20230731,일품정육마트,서울특별시 강서구 내발산동 659-16 1층,식육판매업,186050.2147,450396.488
19850312,영업/정상,20250101,까치정육점,서울특별시 강서구 화곡동 393-29 1층,식육판매업,186494.7724,448002.6922
19850325,영업/정상,20250101,현대닭집,서울특별시 강서구 방화동 579-1,식육판매업,183381.4864,452157.6706
19850416,취소/말소/만료/정지/중지,20250101,대원정육점,서울특별시 강서구 등촌동 516-3 1층 ,식육판매업,187593.769,449316.1274
19851024,폐업,20220304,화남정육점,서울특별시 강서구 화곡동 404-21 1층 ,식육판매업,186382.5305,448233.2576
19860318,영업/정상,20250101,본동정육점,서울특별시 강서구 화곡동 976-18,식육판매업,186661.0721,449617.0192
19870328,취소/말소/만료/정지/중지,20250101,축협직매화곡3직매장,서울특별시 강서구 화곡동 340-44 ,식육판매업,186357.812,447881.5482
19880312,영업/정상,20250101,화곡슈퍼정육점,서울특별시 강서구 화곡동 98-252,식육판매업,186132.6201,449003.4687
19880317,영업/정상,20250101,대성정육점,서울특별시 강서구 화곡동 837-1,식육판매업,187397.3458,447824.5139
19880903,영업/정상,20250101,강서축산,서울특별시 강서구 화곡동 1121 ,식육판매업,186942.4103,450044.3374
19901208,영업/정상,20250101,금성정육점,서울특별시 강서구 화곡동 351-63 ,식육판매업,186103.7955,448070.865
19910902,영업/정상,20250101,신토불이정육점,서울특별시 강서구 화곡동 1023 ,식육판매업,185478.1091,449151.7148
19920129,취소/말소/만료/정지/중지,20250101,장포축산유통,서울특별시 강서구 화곡동 1046-4 ,식육판매업,185328.1775,448881.6265
19920708,취소/말소/만료/정지/중지,20250101,한우정육점,서울특별시 강서구 화곡동 783-23 ,식육판매업,187794.4318,447675.2957
19921005,취소/말소/만료/정지/중지,20230731,가양정육점,서울특별시 강서구 가양동 1486 가양7단지아파트 가양종합상가동,식육판매업,187710.4716,451087.6877
19930325,취소/말소/만료/정지/중지,20250101,석왕축산,서울특별시 강서구 화곡동 362-42 ,식육판매업,185696.364,448059.7009
19930423,취소/말소/만료/정지/중지,20230731,서림계육점,서울특별시 강서구 화곡동 98-207,식육판매업,186138.1355,448950.665
19930624,영업/정상,20250101,진짜한우,서울특별시 강서구 가양동 1460 가양개발지구1-2B/L한강타운상가 지하19호,식육판매업,186236.2811,452133.2779
19940912,취소/말소/만료/정지/중지,20250101,제일정육점,서울특별시 강서구 공항동 60-31 ,식육판매업,183211.7113,450672.554
19941119,영업/정상,20250101,토종한우,서울특별시 강서구 등촌동 687 A-1블럭(등촌주공A단지1단지상가102호),식육판매업,186009.1945,451422.0553
19950825,폐업,20220624,발해정육점,서울특별시 강서구 등촌동 694,식육판매업,186382.0665,451163.1308
19951016,영업/정상,20250101,대박축산,서울특별시 강서구 화곡동 341-59,식육판매업,186434.4948,447772.0702
19951212,취소/말소/만료/정지/중지,20230731,육영한우백화점,서울특별시 강서구 화곡동 362-126,식육판매업,185753.3667,448087.138
19960206,영업/정상,20250101,중앙정육점,서울특별시 강서구 화곡동 362-44,식육판매업,185672.1082,448044.7506
19961128,취소/말소/만료/정지/중지,20250101,신토불이,서울특별시 강서구 화곡동 1028-8 ,식육판매업,185892.8775,449238.5525
19970214,취소/말소/만료/정지/중지,20230731,강서마니커,서울특별시 강서구 등촌동 644-1,식육판매업,187621.6362,450310.6442
19970226,폐업,20250101,동은정육점,서울특별시 강서구 방화동 192-3 ,식육판매업,184198.5672,452118.1648
19970811,폐업,20240302,신신정육점,서울특별시 강서구 가양동 1485 상가 109호,식육판매업,187498.7909,451226.0667
19970826,영업/정상,20250101,총각네 한우전문점,서울특별시 강서구 화곡동 341-69 ,식육판매업,186428.6667,447734.7573
19970908,폐업,20230615,한우리 축산,서울특별시 강서구 화곡동 837-15,식육판매업,187376.8356,447821.3186
19980216,영업/정상,20250101,양서정육,서울특별시 강서구 화곡동 353-56,식육판매업,186012.94,447837.8133
19980319,취소/말소/만료/정지/중지,20230731,건호후레쉬포크,서울특별시 강서구 가양동 1458-7 성지빌딩 102호,식육판매업,186100.5104,452014.5019
19980417,취소/말소/만료/정지/중지,20250101,세계로정육도매센타,서울특별시 강서구 화곡동 98-154 ,식육판매업,186099.7791,449011.8578
19980715,폐업,20220607,한국관정육점,서울특별시 강서구 내발산동 717-24,식육판매업,185335.3805,449703.0609
19980811,폐업,20230428,11단지정육점,서울특별시 강서구 방화동 851 방화11단지도시개발A상가1층103호,식육판매업,182742.538,452003.8236
19980909,영업/정상,20250101,장터정육점,서울특별시 강서구 가양동 1481 도시개발APT 5단지A상가 107호 ,식육판매업,187084.1032,451262.6534
19981117,영업/정상,20250101,유진정육점,서울특별시 강서구 화곡동 341-56,식육판매업,186456.2247,447725.963
19981130,영업/정상,20250101,강서농협 하나로마트,서울특별시 강서구 방화동 829-2 지상1층,식육판매업,183307.1979,452726.0156
19990204,취소/말소/만료/정지/중지,20230731,이상축산유통,서울특별시 강서구 마곡동 222-11 지층,식육판매업,184249.0642,452301.6916
19990331,영업/정상,20250101,내고향한우,서울특별시 강서구 화곡동 51-29 1층 코너 점포,식육판매업,186495.1849,448964.6768
